id,surname,givenName,previousNames,gender,birthDate,deathDate,bloodType,nationality,education,occupation,address,photoPath,fatherId,motherId,spouseIds,generation,notes
S001,史,太公,,male,1920-01-01,1995-05-10,O,汉族,私塾,农民,山东省,,,,S002,1,史家第一代
S002,史,太婆,李氏,female,1922-03-15,2000-08-20,A,汉族,,家庭主妇,山东省,,,,S001,1,史太公配偶
S003,史,大伯,,male,1945-06-20,,A,汉族,高中,教师,山东省济南市,,S001,S002,S004,2,长子
S004,史,大伯母,张秀英,female,1948-09-10,,B,汉族,初中,会计,山东省济南市,,,,S003,,2,史大伯配偶
S005,史,二伯,,male,1948-03-08,,B,汉族,大学,工程师,北京市,,S001,S002,S006,2,次子
S006,史,二伯母,王丽华,female,1950-12-25,,AB,汉族,高中,医生,北京市,,,,S005,,2,史二伯配偶
S007,史,父,,male,1952-10-15,,A,汉族,大学,教授,上海市,,S001,S002,S008,2,三子
S008,史,母,李淑芬,female,1955-04-20,,O,汉族,大学,研究员,上海市,,,,S007,,2,史父配偶
S009,史,四叔,,male,1955-07-30,,O,汉族,大专,商人,广州市,,S001,S002,S010,2,四子
S010,史,四婶,陈美玲,female,1958-11-08,,A,汉族,高中,会计,广州市,,,,S009,,2,史四叔配偶
S011,史,大哥,,male,1970-02-14,,A,汉族,大学,律师,山东省济南市,,S003,S004,S012,3,史大伯长子
S012,史,大嫂,刘芳,female,1972-08-18,,B,汉族,大学,教师,山东省济南市,,,,S011,,3,史大哥配偶
S013,史,二哥,,male,1973-05-22,,B,汉族,硕士,医生,山东省青岛市,,S003,S004,S014,3,史大伯次子
S014,史,二嫂,赵静,female,1975-10-05,,AB,汉族,大学,护士,山东省青岛市,,,,S013,,3,史二哥配偶
S015,史,大姐,,female,1975-12-01,,AB,汉族,大学,编辑,北京市,,S005,S006,S016,3,史二伯长女
S016,史,姐夫,周明,male,1973-03-12,,B,汉族,大学,记者,北京市,,,,S015,,3,史大姐配偶
S017,史,堂兄,,male,1978-04-25,,O,汉族,硕士,金融,北京市,,S005,S006,S018,3,史二伯长子
S018,史,堂嫂,吴婷,female,1980-09-15,,A,汉族,大学,银行职员,北京市,,,,S017,,3,史堂兄配偶
S019,史,我,,male,1980-08-10,,A,汉族,硕士,软件工程师,上海市,,S007,S008,S020,3,史父长子
S020,张,老师,张小红,female,1982-11-22,,B,汉族,大学,教师,上海市,,,,S019,,3,史我配偶
S021,史,弟,,male,1983-06-15,,B,汉族,博士,研究员,深圳市,,S007,S008,S022,3,史父次子
S022,史,弟媳,林雪,female,1985-02-28,,O,汉族,硕士,教师,深圳市,,,,S021,,3,史弟配偶
S023,史,堂弟,,male,1982-01-20,,A,汉族,大学,销售经理,广州市,,S009,S010,S024,3,史四叔长子
S024,史,堂弟媳,黄丽,female,1984-07-12,,B,汉族,大专,会计,广州市,,,,S023,,3,史堂弟配偶
S025,史,堂妹,,female,1985-09-05,,B,汉族,大学,设计师,深圳市,,S009,S010,S033,3,史四叔长女
S026,史,侄子,,male,1995-03-18,,A,汉族,大学在读,学生,山东省济南市,,S011,S012,,4,史大哥长子
S027,史,侄女,,female,1998-07-22,,B,汉族,高中,学生,山东省青岛市,,S013,S014,,4,史二哥长女
S028,史,儿子,,male,2005-12-10,,A,汉族,高中在读,学生,上海市,,S019,S020,S031,4,史我长子
S029,史,女儿,,female,2008-04-15,,O,汉族,初中在读,学生,上海市,,S019,S020,S032,4,史我长女
S030,史,侄子2,,male,2008-08-08,,B,汉族,初中在读,学生,深圳市,,S021,S022,,4,史弟长子
S031,李,小姐,李婷婷,female,2006-03-20,,A,汉族,高中在读,学生,上海市,,,,S028,,4,史儿子女友
S032,王,同学,王小明,male,2007-06-15,,B,汉族,初中在读,学生,上海市,,,,S029,,4,史女儿男友
S033,赵,先生,赵强,male,1983-11-10,,A,汉族,硕士,设计师,深圳市,,,,S025,,3,史堂妹配偶
S034,赵,大宝,,male,2010-05-20,,A,汉族,小学在读,学生,深圳市,,S033,S025,,4,史堂妹长子（表亲）
S035,赵,小贝,,female,2012-08-15,,B,汉族,小学在读,学生,深圳市,,S033,S025,,4,史堂妹长女（表亲）
