id,name,gender,birthDate,deathDate,bloodType,nationality,education,occupation,address,photoPath,parentId,spouseId,generation,notes
S001,史太公,male,1920-01-01,1995-05-10,O,汉族,私塾,农民,山东省,,,1,史家第一代
S002,史太婆,female,1922-03-15,2000-08-20,A,汉族,,家庭主妇,山东省,,S001,S001,1,史太公配偶
S003,史大伯,male,1945-06-20,,A,汉族,高中,教师,山东省济南市,,S001,,2,长子
S004,史大伯母,female,1948-09-10,,B,汉族,初中,会计,山东省济南市,,S003,S003,2,史大伯配偶
S005,史二伯,male,1948-03-08,,B,汉族,大学,工程师,北京市,,S001,,2,次子
S006,史二伯母,female,1950-12-25,,AB,汉族,高中,医生,北京市,,S005,S005,2,史二伯配偶
S007,史父,male,1952-10-15,,A,汉族,大学,教授,上海市,,S001,,2,三子
S008,史母,female,1955-04-20,,O,汉族,大学,研究员,上海市,,S007,S007,2,史父配偶
S009,史四叔,male,1955-07-30,,O,汉族,大专,商人,广州市,,S001,,2,四子
S010,史四婶,female,1958-11-08,,A,汉族,高中,会计,广州市,,S009,S009,2,史四叔配偶
S011,史大哥,male,1970-02-14,,A,汉族,大学,律师,山东省济南市,,S003,,3,史大伯长子
S012,史大嫂,female,1972-08-18,,B,汉族,大学,教师,山东省济南市,,S011,S011,3,史大哥配偶
S013,史二哥,male,1973-05-22,,B,汉族,硕士,医生,山东省青岛市,,S003,,3,史大伯次子
S014,史二嫂,female,1975-10-05,,AB,汉族,大学,护士,山东省青岛市,,S013,S013,3,史二哥配偶
S015,史大姐,female,1975-12-01,,AB,汉族,大学,编辑,北京市,,S005,,3,史二伯长女
S016,史姐夫,male,1973-03-12,,B,汉族,大学,记者,北京市,,S015,S015,3,史大姐配偶
S017,史堂兄,male,1978-04-25,,O,汉族,硕士,金融,北京市,,S005,,3,史二伯长子
S018,史堂嫂,female,1980-09-15,,A,汉族,大学,银行职员,北京市,,S017,S017,3,史堂兄配偶
S019,史我,male,1980-08-10,,A,汉族,硕士,软件工程师,上海市,,S007,,3,史父长子
S020,史妻,female,1982-11-22,,B,汉族,大学,设计师,上海市,,S019,S019,3,史我配偶
S021,史弟,male,1983-06-15,,B,汉族,博士,研究员,深圳市,,S007,,3,史父次子
S022,史弟媳,female,1985-02-28,,O,汉族,硕士,教师,深圳市,,S021,S021,3,史弟配偶
S023,史堂弟,male,1982-01-20,,A,汉族,大学,销售经理,广州市,,S009,,3,史四叔长子
S024,史堂弟媳,female,1984-07-12,,B,汉族,大专,会计,广州市,,S023,S023,3,史堂弟配偶
S025,史堂妹,female,1985-09-05,,B,汉族,大学,设计师,深圳市,,S009,,3,史四叔长女
S026,史侄子,male,1995-03-18,,A,汉族,大学在读,学生,山东省济南市,,S011,,4,史大哥长子
S027,史侄女,female,1998-07-22,,B,汉族,高中,学生,山东省青岛市,,S013,,4,史二哥长女
S028,史儿子,male,2005-12-10,,A,汉族,高中在读,学生,上海市,,S019,,4,史我长子
S029,史女儿,female,2008-04-15,,O,汉族,初中在读,学生,上海市,,S019,,4,史我长女
S030,史侄子2,male,2008-08-08,,B,汉族,初中在读,学生,深圳市,,S021,,4,史弟长子
